Cód.,Município,Salario
1100015,Alta Floresta D'Oeste (RO),1741.31
1100023,Ariquemes (RO),1948.68
1100031,Cabixi (RO),1672.78
1100049,Cacoal (RO),1940.07
1100056,Cerejeiras (RO),1953.89
1100064,Colorado do Oeste (RO),1707.68
1100072,Corumbiara (RO),1850.09
1100080,Costa Marques (RO),1757.2
1100098,Espigão D'Oeste (RO),1840.54
1100106,Guajará-Mirim (RO),1916.9
1100114,Jaru (RO),1867.57
1100122,Ji-Paraná (RO),1914.62
1100130,Machadinho D'Oeste (RO),1788.04
1100148,Nova Brasilândia D'Oeste (RO),1782.06
1100155,Ouro Preto do Oeste (RO),1900.3
1100189,Pimenta Bueno (RO),1833.72
1100205,Porto Velho (RO),3233.07
1100254,Presidente Médici (RO),1793.13
1100262,Rio Crespo (RO),1999.87
1100288,Rolim de Moura (RO),1771.47
1100296,Santa Luzia D'Oeste (RO),1661.73
1100304,Vilhena (RO),1997.62
1100320,São Miguel do Guaporé (RO),1761.81
1100338,Nova Mamoré (RO),1734.1
1100346,Alvorada D'Oeste (RO),1556.5
1100379,Alto Alegre dos Parecis (RO),1755.58
1100403,Alto Paraíso (RO),1872.95
1100452,Buritis (RO),1834.72
1100502,Novo Horizonte do Oeste (RO),1718.49
1100601,Cacaulândia (RO),1996.87
1100700,Campo Novo de Rondônia (RO),2126.69
1100809,Candeias do Jamari (RO),1896.83
1100908,Castanheiras (RO),5081.71
1100924,Chupinguaia (RO),1928.74
1100940,Cujubim (RO),1943.01
1101005,Governador Jorge Teixeira (RO),1580.49
1101104,Itapuã do Oeste (RO),1893.59
1101203,Ministro Andreazza (RO),1743.92
1101302,Mirante da Serra (RO),1499.76
1101401,Monte Negro (RO),1554.23
1101435,Nova União (RO),1505.61
1101450,Parecis (RO),1834.97
1101468,Pimenteiras do Oeste (RO),1814.56
1101476,Primavera de Rondônia (RO),1575.93
1101484,São Felipe D'Oeste (RO),1609.84
1101492,São Francisco do Guaporé (RO),1667.82
1101500,Seringueiras (RO),1777.3
1101559,Teixeirópolis (RO),1688.51
1101609,Theobroma (RO),1806.51
1101708,Urupá (RO),1694.81
1101757,Vale do Anari (RO),1858.92
1101807,Vale do Paraíso (RO),1600.97
1200013,Acrelândia (AC),1876.1
1200054,Assis Brasil (AC),2081.53
1200104,Brasiléia (AC),1747.79
1200138,Bujari (AC),1551.24
1200179,Capixaba (AC),2320.6
1200203,Cruzeiro do Sul (AC),1729.97
1200252,Epitaciolândia (AC),1539.87
1200302,Feijó (AC),1618.27
1200328,Jordão (AC),1417.38
1200336,Mâncio Lima (AC),1588.86
1200344,Manoel Urbano (AC),2191.71
1200351,Marechal Thaumaturgo (AC),1493.58
1200385,Plácido de Castro (AC),1668.16
1200393,Porto Walter (AC),1388.66
1200401,Rio Branco (AC),3214.11
1200427,Rodrigues Alves (AC),1775.8
1200435,Santa Rosa do Purus (AC),2042.65
1200450,Senador Guiomard (AC),1768.23
1200500,Sena Madureira (AC),1693.32
1200609,Tarauacá (AC),1927.85
1200708,Xapuri (AC),1837.45
1200807,Porto Acre (AC),1946.68
1300029,Alvarães (AM),1382.3
1300060,Amaturá (AM),1903.94
1300086,Anamã (AM),1599.42
1300102,Anori (AM),1866.51
1300144,Apuí (AM),1832.44
1300201,Atalaia do Norte (AM),1552.35
1300300,Autazes (AM),1641.81
1300409,Barcelos (AM),1537.94
1300508,Barreirinha (AM),1624.14
1300607,Benjamin Constant (AM),1732.36
1300631,Beruri (AM),1691.68
1300680,Boa Vista do Ramos (AM),1515.6
1300706,Boca do Acre (AM),1541.85
1300805,Borba (AM),1824.99
1300839,Caapiranga (AM),1379.93
1300904,Canutama (AM),1452.24
1301001,Carauari (AM),1810.43
1301100,Careiro (AM),2073.03
